date,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
196307,-0.39,-0.44,-0.89,0.68,-1.23,0.27,0.97
196308,5.07,-0.75,1.68,0.36,-0.34,0.25,1.01
196309,-1.57,-0.55,0.08,-0.71,0.29,0.27,0.19
196310,2.53,-1.37,-0.14,2.8,-2.02,0.29,3.12
196311,-0.85,-0.89,1.81,-0.51,2.31,0.27,-0.74
196312,1.83,-2.07,-0.08,0.03,-0.04,0.29,1.75
196401,2.24,0.11,1.47,0.17,1.51,0.3,0.86
196402,1.54,0.3,2.74,-0.05,0.9,0.26,0.26
196403,1.41,1.36,3.36,-2.21,3.19,0.31,0.75
196404,0.1,-1.59,-0.58,-1.27,-1.04,0.29,-0.58
196405,1.42,-0.64,1.82,-0.16,0.14,0.26,2.57
196406,1.27,0.31,0.63,-0.28,-0.15,0.3,0.46
196407,1.74,0.47,0.75,0.04,1.94,0.3,-0.32
196408,-1.44,0.42,0.08,0.15,0.33,0.28,-0.22
196409,2.69,-0.33,1.7,-0.54,0.61,0.28,-0.41
196410,0.59,0.91,1.17,-0.38,0.43,0.29,0.08
196411,0,-0.15,-1.96,0.62,-0.26,0.29,1.03
196412,0.03,-0.7,-2.48,1.04,-1.48,0.31,-0.74
196501,3.54,2.44,0.12,0.89,0.1,0.28,-1.44
196502,0.44,3.29,0.11,0.2,-0.65,0.3,0.32
196503,-1.34,2.11,1.03,-0.36,0.72,0.36,0.15
196504,3.11,1.11,0.66,0.41,-2.27,0.31,2.63
196505,-0.77,0.13,-1.61,-0.4,0.5,0.31,0.6
196506,-5.51,-4.28,0.59,0.21,0.37,0.35,-3.13
196507,1.43,1.07,2.14,-1.37,0.03,0.31,4.12
196508,2.73,2.71,-1.02,1.9,-0.74,0.33,2.58
196509,2.86,0.62,-0.12,-0.89,0.8,0.31,3.3
196510,2.6,3.47,1.57,1.17,-0.65,0.31,3.46
196511,-0.03,5.18,0.1,-1.01,-0.94,0.35,4.45
196512,1.01,2.66,2.02,-1.14,-0.53,0.33,0.12
196601,0.72,4.67,3.53,-2.82,-0.11,0.38,5.39
196602,-1.21,4.71,0.29,-0.17,-1.49,0.35,4.57
196603,-2.51,0.32,-2,1.3,0.06,0.38,1.42
196604,2.14,3.34,-0.47,0.39,-0.95,0.34,6.28
196605,-5.66,-5.1,-1.61,1.64,-1.52,0.41,-4.7
196606,-1.44,1.37,0.49,0.15,0.78,0.38,3.25
196607,-1.63,-0.48,0.99,-0.4,1.82,0.35,-1.4
196608,-7.91,-3.14,0.44,-0.12,0.79,0.41,-2.14
196609,-1.06,-1.14,0.51,-1.79,2.33,0.4,-1.84
196610,3.86,-6.45,2.68,-3.48,4.24,0.45,-5.26
196611,1.4,3.47,-4.77,4.15,-6.69,0.4,5.72
196612,0.13,2.16,-1.32,0.64,-0.45,0.4,1.06
196701,8.15,9.07,2.25,0.93,-3.13,0.43,-6.93
196702,0.78,3.05,-2.18,2.05,-0.96,0.36,3.52
196703,3.99,1.73,0.54,0.98,-1.45,0.39,1.53
196704,3.89,0.42,-2.45,2.38,-3.64,0.32,0.59
196705,-4.33,2.19,1.18,-1.7,1.81,0.33,0.72
196706,2.41,6.41,0.85,-0.64,-2.41,0.27,6
196707,4.58,3.52,2.72,0.52,2.7,0.31,-1.03
196708,-0.89,0.67,1.52,0.36,1.45,0.31,-1.38
196709,3.11,2.42,-2.42,0.23,-0.95,0.32,2.52
196710,-3.09,0.47,-3.22,1.07,-2.62,0.39,3.67
196711,0.37,-0.06,-1.69,1.35,-2.34,0.36,1.26
196712,3.05,5.78,-0.63,-0.82,0.13,0.33,3.25
196801,-4.06,4.48,4.84,-4.59,6.46,0.4,-4.7
196802,-3.75,-2.92,1.33,-0.14,2.45,0.39,-3.43
196803,0.2,-1.6,-0.59,1.06,-1.1,0.38,3.23
196804,9.05,6.18,-1.17,2.7,-3.65,0.43,5.09
